YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
2009,5907,,"Kathmandu, Nepal",Department of Sociology,TEXT MATERIAL,Social Change & Development Studies (Optional For Sociology) Vol. 4 : Unit V,Compendium
2061,2034,82,"Pulchowk, Lalitpur",Sajha Prakashan,TEXT MATERIAL,Pracheen Nepali Gadhya,Sharad Chandra Sharma Bhattrai | Ghat Raj Bhattrai
1999,4221,32.8,New Delhi,S.Chand & Company,TEXT MATERIAL,Advanced Accounts,M.C. Shukla  | T.S. Grewal | S.C. Gupta
1964,301,156,London,Methuen & Company,TEXT MATERIAL,The Comic Tales of Chaucer,T.W. Craik
2068,6322,292,Kathmandu,Ganga Karki,TEXT MATERIAL,Kehi Bideshi Pustakma Nepal ra Nepali,Tek B. Karki
2007,2152,244,New York,Palgrave Macmillan,TEXT MATERIAL,Keats; odes,G.S. Fraser
1957,278,360,New York,Penguin Books,TEXT MATERIAL,Madame Bovary:,Gustave Flaubert
2067,7569,420,"Kathmandu, Nepal",National Book Centre,TEXT MATERIAL,Analysis of social institutions and process (Samajik sanstha ra prakriyako bisleshan),Dr. Keshav Kumar Shrestha | Balaram Sharma
1982,283,470,London,Macmillan Education,TEXT MATERIAL,Jane Eyre,Charlotte Bronte
2009,6483,1294,New Delhi,S. Chand & Company,TEXT MATERIAL,Genetics For B.Sc.,P.S. Verma | V.K. Agarwal
2053,4656,214,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Adhunik Nepalko Samajik itihas,Dr. Premkumar Khatri | Dr. Peshal Dahal
1977,5619,397,Tokyo,McGraw-Hill Kogakusha,TEXT MATERIAL,Economic Development,Charles P. Kindleberger | Bruce Herrick
2007,2234,76,"Bharatpur, Chitwan","Master of arts in Economic Department,Birendra Multiple Campus",TEXT MATERIAL,The socio-economic status of women in Nepal,Mina Khanal
1992,7372,202,"Kirtipur, Kathmandu",The Central Department of Geology,TEXT MATERIAL,"Proceedings of the symposium : ""Geodynanics of the Nepal himalaya""","The Central Department of Geology, TU"
2075,10382,248,Bagbazar,Shikha Books,TEXT MATERIAL,Mato Sanskriti,Tej Bahadur Karki
2012,7954,59,"Bharatpur, Chitwan","Department of Sociology, Birendra Multiple Campus",TEXT MATERIAL,Tourism in Sauraha,"Rimal,Paras Sharma"
1970,5777,642,Bombay,The Times of India Press,TEXT MATERIAL,The Study of International Relations,Quincy Wright
0,3636,784,,,TEXT MATERIAL,History of Modern Europe,V.D. Mahajan
