YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
1997,817,796,London,Everyman's Library,TEXT MATERIAL,The Brothers Karamazov,Fyodor Dostoevsky
1982,4536,992,New Delhi,Jawaharlal Nehru memorial fund oxford university press,TEXT MATERIAL,Jawaharlal Nehru : Glimpses of world History,J.F. Horrabin
2010,8765,65,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of  Econoimics,TEXT MATERIAL,An Analyasis of Trend & Structure of Budget in Nepal,Chadamani Poudel
2070,8160,133,Chitan,Sirjansil Anusandhan Kendra,TEXT MATERIAL,Chitwanko Aitihasik ebam puratatwik Parichaya,Dr. Bishnu Prasad Ghimire
2041,13855,48,"Bharatpur, Chitwan","T.U. Teachers association, Birendra Multiple Campu",TEXT MATERIAL,"विवेक  २०४१  अंक १  , वर्ष १ ( Bibek  2041 )","Nepal, Shiva Prasad"
2000,4481,115,"Kathmandu, Nepal",Curriculum Development Centre,TEXT MATERIAL,Fundation of Human Resource Management,"CDC, TU"
1984,2937,544,New Delhi,S. Chand & Company,TEXT MATERIAL,Botany Patr 2:,B.R. Vashishta
2003,1659,521,New York,McGraw-Hill Companies,TEXT MATERIAL,An Introduction to the World's Oceans,Keith A. Sverdrup | Alyn C. Duxbury | Alison B. Duxbury
2066,10584,584,"Kathmandu, Nepal",Sajha Prakshan,TEXT MATERIAL,Bali Biruwaka Shatru Ra Tinko Rokatham,Phanindra Prasad Neupane
1991,813,362,London,Everyman's Library,TEXT MATERIAL,Typhoon & Other Stories,Joseph Conrad
1971,2941,502,New York,The Macmillan Company,TEXT MATERIAL,Biology:,James F. Case | Vernon E. Stiers
2019,12448,25,"Bharatpur,Chitwan","Department Of English,Birendra Multipel Campus",TEXT MATERIAL,Use Of Absurdity In Edward Albee's The Zoo Story,"Adhikari,Rishi Ram"
2007,10158,470,Australia,Thomson Wadsworth,TEXT MATERIAL,Ideas and Details,M.Garrett Bauman
2015,9621,608,New Delhi,McGraw Hill,TEXT MATERIAL,Numerical Methods,E. Balagurusamy
2064,8961,100,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,Dhurbchandra Goutamko Swrgiya Hiradeviko khoj Upanyasko Krtiprak Aadyayan,Kalpana Karki
0,4591,102,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Hamro Lokkatha,Lila Singh Karma
2064,6054,521,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Nepali upanyas: Parampara ra Prabriti,Rajendra Subedi
2013,9647,1077,Singapore,John Wiley & Sons,TEXT MATERIAL,Principles of Biochemistry : International Student Version,"Donald Voet | Judith G, Voet | Charlotte W. Pratt"
2013,8285,125,"Kathmandu, Nepal",Arun Kumar Ranjitkar,TEXT MATERIAL,Botany a practical handbook for B.Sc. 1 and 2 yar,H.D. Ranjitkar
2057,9036,171,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,"Mukunda Aachryako Jibani, Byaktitwo ra Krititwoko Aadyayan",Arunbilas Adhikari
0,1851,à¥¨à¥­à¥ª,"Bhotahity, kathmandu",Ratna Pustak Bhandar,TEXT MATERIAL,Bikash sambandhi dristikon,Tika Ram Gautam
2004,5376,60,,,TEXT MATERIAL,"World food programme , Annual report 2004",World food Programme
1990,1566,272,New York,Cambridge University Press,TEXT MATERIAL,The Stages of Economic Growth,W.W. Rostow
2060,10871,170,Kathmandu,Sajha Prakashan,TEXT MATERIAL,Kinnar Kinnari,Madhav Ghimire
1971,6888,207,New Delhi,Prentice-Hall of India,TEXT MATERIAL,Introduction to Microbiology,A.S. Rao
2059,6112,192,"Kathmandu, Nepal",Pasina Prakashan,TEXT MATERIAL,Kandeghariko Yatra (Aaphnai Katha),Kabita Paudel
1776,2518,107,America,The United States of America,TEXT MATERIAL,A Government by the People,The United States of America
1999,1787,126,New York,UN,TEXT MATERIAL,Preventing War And Disaster:,Kofi A .Annan
1977,1321,160,London,Galley press,TEXT MATERIAL,How Fishes Live,Peter Whitehead
2064,1037,296,"Kathmandu, Nepal",Ratna Pustak Bhandar,TEXT MATERIAL,Certificate Level Physics Practical Guide,U.P. Shrestha
2009,4311,72,"Kathmandu, Nepal","Shankar Dev Campus, Department of Management (MBS) ,T.U.",TEXT MATERIAL,Deposit collection and investment practices Nepal investment Bank limited comparison with Himalayan Bank ltd,Suvash Ghimire
1999,3056,525,New Delhi,Oxford & IBH Publishing Company,TEXT MATERIAL,Management of Industrial Relations,Pramod Verma
2075,10578,451,"Putalisadak, Kathmandu",KEC Publication & Distribution (P) Ltd,TEXT MATERIAL,Fundamentals of Taxation & Auditing for BBBS 3rd year,Jit Bahadur K C | Devi Lal Sharma | Tri Ratna Manandhar | Ramesh Kafley | Govinda Bharati | Udaya Kumar Shrestha | Dhanishor Timalsina | Chakra Prasad Baral | Ghanshyam Tiwari | Shanti Ram Khanal | Shiba Prasad Sapkota
2072,9858,606,"Kathmandu, Nepal",KEC Publication,TEXT MATERIAL,Production & Operations Management,Krishna Prasad Acharya | Arun Kumar Yadav | Bijay Lal Pradhan | Rajendra Prasad Upadhayaya | Lal Babu Shah | Prajeet K. Timilsina
2002,405,131,New Delhi,Viva Books Private Limited,TEXT MATERIAL,Postmodernity,David Lyon
2011,7755,152,"Kirtipur, Kathmandu",Tara Rai,TEXT MATERIAL,Study of Mierals and Rocks in Hand Specimens,Shantaman Rai
2075,13513,68,"Bharatpur,Chitwan","Department Of Sociology,Birendra multiple Campus",TEXT MATERIAL,Nepali Schmajma Sambandha Bicched Garne Mahilahru ko Schamajik Aarthik Avastha,"Ranabhat,  Fulmaya"
2051,6548,191,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Chandrika,Guru Raj Hem Raj Pandit
2069,9298,237,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Bhok Ra Bhittaharu,Daulat Bikram Bista
2018,10597,701+xxii,India,Pearson Education,TEXT MATERIAL,Principles of Marketing,Philip Kotler | Gary Armstrong | Prafulla Agnihotri
2068,10293,67,"Kathmandu, Nepal",Padma Kanya Multiple College,TEXT MATERIAL,The Situational Analysis of Sarki Community,Lali Kumari Shrestha
0,4711,85,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Nepali Ekankee Vol.1,Keshav Prasad Updhayaya | Gopee Krishna Sharma | Viktar Pradhan
1987,3586,291,New Delhi,Allied Publishers,TEXT MATERIAL,Theoretical Issues of Agricultural Economics,O.S Shrivastava
2018,10930,1001,New Delhi,Kalyani Publishers,TEXT MATERIAL,The Economics of Development  Planning,"R K Lekhi, Joginder Singh"
2057,2141,243,"Bhotahity, Kathmandu",Biddarthi Pustak Bhandar,TEXT MATERIAL,Political theory and Analysis (Rajnitik siddanta ra bisleshan),Shirish Chandra Regmi
2019,12474,32,"Bharatpur,chitwan","Department Of English,Birendra Multipel Campus",TEXT MATERIAL,Cultural Colonization In An Outcast Of The  Islands,"Dhakal,Saugat"
0,4705,90,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Krishiwala,Laxmi Prasad Devkota
2013,8540,87,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,Ownership Pattern of Government Securities In Nepal,Gita Acharya
2050,1424,329,Varanasi,Student Publication & Distributors,TEXT MATERIAL,A New Approach to Statics,Bal Makund Singh
2063,10468,64,Kathmandu,Department of History and Culture :Tribhuvan University,TEXT MATERIAL,"Gulmi , Bamitaksar kshetraka newar samudayako samajik sanskritik adhyayan",Jhabindra Kharel
2009,4352,102,"Kathmandu, Nepal","Everest College. Faculty of Management ,MBS, TU",TEXT MATERIAL,"Credit card Business in Nepal with Reference to Nabil Bank , himalayan Bank ltd and standard chartered Bank Nepal ltd",Jeenu Palikhel
2009,5899,,"Kathmandu, Nepal",Department of Sociology,TEXT MATERIAL,Social Stratification & Differentiation Vol. 4,Compendium
2061,7305,86,"Chitwan, Nepal",Bibek Sirjanshil Prakashan,TEXT MATERIAL,Haiku Katha,Posh Chapagain
2058,13657,176,Pokhara,"Department of Nepali,Prithvinarayan Multiple Campu",TEXT MATERIAL,Siraha jila Ma Prachalit Thru JatikaLok Natak Hruko Sankalan r Bislesan,"Shah,Ganga Ram"
2011,10523,666,New York,The Guilford Press,TEXT MATERIAL,"Introduction to Remote Sensing, PHOTOCOPY",James B. Campbell | Randolph H. Wynne
2055,9171,60,"Kathmandu, Nepal","Department of Hindi, TU",TEXT MATERIAL,Nepali Mahakabya Ki Parampara Me Manab Mahakabya,Krishna Prasad Neupane
2009,7725,381,New Delhi,Orient Blackswan,TEXT MATERIAL,The Chomsky Effect : A radical works beyond the ivory Tower,Robert F. Barsky
2012,7426,1248+I-25,New Delhi,Wiley,TEXT MATERIAL,Halliday and Resnick Principles of Physics,Jeral Walker
2052,2610,219,"Bhotahiti, Kathmandu",Ratna Pustak Bhandar,TEXT MATERIAL,Political Thought,Ram Kumar Dahal
2011,6324,300,London,Harper collins,TEXT MATERIAL,Aleph,Paulo Coelho
2064,5044,398,New Delhi,Pairabi Prakashan,TEXT MATERIAL,Economics of Development & Planning,Neel Kumar Sharma
2048,1629,87,"Kathmandu, Nepal",A. Pant,TEXT MATERIAL,Algebra For Economics,Govinda Dev Pant
2067,9578,43,"Bharatpur, Chitwan","Department of Sociology, Birendra Multiple Campus,T.U.",TEXT MATERIAL,"Role of Tamang women in Tamang community :  A study of Chandranighapur VDC, Rauthat District",Chandra Dev Tumbhangphe
1977,3502,699,Agra,Shiva Lal Agarwala & Company,TEXT MATERIAL,Money & Banking (Mudra ebam Banking),M.L. Seth
2009,6386,656,China,MOSBY Elsevier,TEXT MATERIAL,Mim's Medical Microbiology,Richard V. Goering
2009,4947,292,New Delhi,Cambridge University Press,TEXT MATERIAL,New Directions,Peter S. Gardner
2004,1999,246,Boston,Macgrow Hill  Irwin,TEXT MATERIAL,Oracle SQL Introductory PL / SQL,Linda L. Preece
2014,8477,700,India,Pearson,TEXT MATERIAL,Technical communication process and product,Sharon Gerson | Steven Gerson
2007,80,331,"Bhotahity , Kathmandu",M.K. Publishers and Distributors,TEXT MATERIAL,Organizational Behavior in Nepal,Govinda Ram Agrawal
1976,2452,717,Agara,Laxminarayan Agrawal,TEXT MATERIAL,Public administration,Amreshowr Awasthi | Shreeram Maheshwori
1991,1834,378,New Delhi,Anmol Publications,TEXT MATERIAL,Dictionary of Geography,M.s. Rao
2026,6186,493,"Kathmandu, nepal",Ratna Pustak Bhandar,TEXT MATERIAL,Lichchhabi Sanskriti,Jagadish Chandra Regmi
2006,2039,611,New Delhi,Tata McGraw-Hill Publishing Company,TEXT MATERIAL,Modern Digital Electronics,R.P. Jain
2020,11164,374p,Kathmandu,Deepmala Publication pvt ltd,TEXT MATERIAL,Statistical Methods( MBS FIRST SEMESTER),"Kc,Vikash Kumar Tharu, Ramesh Prasad Shresth, Kush"
2051,6996,660,"Kathmandu, Nepal",Sagar Books & Stationary,TEXT MATERIAL,Modern General Knowledge,Shankar Krishna Shrestha
2039,3668,260,Kathmandu,Sajha prakashan,TEXT MATERIAL,Sarkari Arthik byabastha tatha prasasan,Harihar Sharma
2010,6574,512,New Delhi,S. Chand & Company,TEXT MATERIAL,Modern Practical Botany Vol.1,B.P. Pandey
2013,9197,639,New Delhi,PHI Learning,TEXT MATERIAL,Mathematical Methods,Merle C. Potter | Jack Goldberg
2019,10683,355,"Kathmandu, Nepal",Asmita Books Publishers & Distributors P Ltd.,TEXT MATERIAL,Financial Markets & Institutions for MBS,Rajan B. Paudel | Keshar J Baral | Rishi R Gautam | Surya B Rana
1979,1208,525,New Delhi,Prentice-Hall,TEXT MATERIAL,Readings in Ichthyology,Milton S. Love | Gregor M. Cailliet
2003,8932,76,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of  Econoimics,TEXT MATERIAL,Economic Impact of Apiculture in Nepal,Krishna Hari Devkota
0,10616,316,Photocopy,Photocopy,TEXT MATERIAL,"SO 581: The World System Perspective Vol. 2, COMPENDIUM for 3rd Sem.",Central Department of Geology
1992,1319,307,"Lanka, varanasi","Students, Friends & Company",TEXT MATERIAL,Environment & Pollution:,R.S. Ambasht | P.K. Ambasht
2000,74,1226,New Delhi,Vikash Publishing house,TEXT MATERIAL,Financial Management,I M Pandey
2014,9549,544,Kolkota,Current Books International,TEXT MATERIAL,Essentials of Medical Physiology,Anil Baran Singha Mahapatra
2008,4749,626,"Kathmandu, Nepal",Asmita Books Publishers & Distributors,TEXT MATERIAL,Production & Operations Management,Azaya Bikram Sthapit | Rashindra Prasad Yadav | Govinda Tamang | Sushil Dhital | Prakash Adhikari
2006,9348,501,Australia,Blackwell Science,TEXT MATERIAL,Essential Medical Statistics ( Photocopy ),Betty R. Kirkwood | Jonathan A.C. Sterne
2044,4528,177,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Ethar,Saru Bhakta
2017,10288,544,"Bhotahity, Kathmandu",Asmita Books Publishers & Distributors (P) Ltd.,TEXT MATERIAL, Accounting for Financial analysis & Planning (à¤µà¤¿à¤¤à¥à¤¤à¥€à¤¯ à¤µà¤¿à¤¶à¥à¤²à¥‡à¤·à¤£ à¤¤à¤¥à¤¾ à¤¯à¥‹à¤œà¤¨à¤¾ à¤²à¥‡à¤–à¤¾à¤¬à¤¿à¤§à¤¿ ) For BBS 1st  Year,Yadav Raj Koirala | Rajeshwor Prasad Acharya | Padam Raj Joshi | Ashok Kumar Jha | Shree Ratna Shakya | Shiva Prasad Poudel | Jogindar Goiet | Ram Krishna Dhakal | Binod Shaha | Arun Neupane | Dilli Ram Bhandari | Devi Lal Sharma | Ram Prasad Neupane | Ramakanta Bhattarai | Shiva Prasad Sapkota
1996,1722,498,New delhi,Prentice-Hall,TEXT MATERIAL,Diseases of Crop Plants in India,G. Rangaswami
2069,7588,114,"Kathmandu, Nepal",Curriculam Department of TU,TEXT MATERIAL,Nepali Sahityeek Rachana,Curriculam Department of TU
2076,10993,200,Kathmandu,KEC Publication  And Distribution,TEXT MATERIAL,Design And Analysis of Algorithms,"Saud ,Arjun singh , Saud ,Bhupendra Singh"
2058,6645,247,"Kathmandu, Nepal",Sajha Prakshan,TEXT MATERIAL,Kathako Bikas Prakriya,Mohan Raj Sharma
1971,2601,336,New Delhi,Associated Publishing House,TEXT MATERIAL,The political development in Nepal 1950-70,R.S. Chauhan
2008,7222,260,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Aansu Chhachalkindai Janchha (Nibandha Sangraha),Tara Nath Sharma
0,4736,104,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Sanchayan,Kumar Bahadur Joshi
0,10613,150,Photpcopy,Photocopy,TEXT MATERIAL,"SO 585: Migration, Social Network, Remittance & Development Vol. 2, COMPENDIUM for 3rd Sem.",Central Department of Geology
2018,10598,600,India,Pearson Education,TEXT MATERIAL,Social Research Methods,W. Lawrence Neuman
1965,3455,620,New Delhi,Thw world Press,TEXT MATERIAL,Indian Economy:its nature and problems,Alak Ghosh
2055,5046,309,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Sajha Kabita,Chudamani Bandhu
2006,6889,689,New Delhi,Macmillan,TEXT MATERIAL,General Microbiology,Roger Y. Stanier | John L. Ingrahm | Mark L. Wheelis | Page R.Painter
2013,8128,,New Delhi,Pearson,TEXT MATERIAL,Computer System Architecture,M. Morris Mano
2012,7988,539,New York,Tata McGraw Hill Education Private Ltd,TEXT MATERIAL,Food Microbiology,William C. Frazier | Dennis C. Westhoff
2062,6185,138,,Mrs. Shanti Rai,TEXT MATERIAL,Kiratharuko Aatmaniryanako Adhikar,Tank Bahadur Rai
2014,9352,532,"Bhotahity, Kathmandu",Asmita Books Publishers & Distributors (P) Ltd.,TEXT MATERIAL, Accounting for Financial analysis & Planning ( Bittiya bishleshan tatha yojana lekhabidi) for BBS 1st Year,Yadav Raj Koirala | Rajeshwor Prasad Acharya | Padam Raj Joshi | Ashok Kumar Jha | Shree Ratna Shakya | Shiva Prasad Poudel | Jogindar Goiet | Ram Krishna Dhakal | Binod Shaha | Arun Neupane | Dilli Ram Bhandari | Devi Lal Sharma | Shiva Prasad Sapkota | Ram Prasad Neupane
1983,3811,384,Patna,Popular Book Stores,TEXT MATERIAL,Algebra for  Engineering competition,Prof. Ramchandra Prasad
2007,4088,333,"T.U.Kirtipur, Kathmandu",Academic Book Centre,TEXT MATERIAL,Models of Culture,Prof. Dr. Rishikeshah Raj Regmi
2006,615,179,England,Oneworld Publications,TEXT MATERIAL,Postmodernism:,Kevin Hart
2019,13531,27,"Bharatpur,Chitwan","Department Of English,Birendra Multiple Campus",TEXT MATERIAL,Body as a Site Of Resistance,"Thedi,Ranjana"
2017,10048,53,"Bharatpur, Chitwan, Nepal","Department of Physics , Birendra Multiple Campus,TU",TEXT MATERIAL,Assessment of Noise Level in  Ratnanagar Municipality Nepal,Anjila Ghimire
1969,3308,99,Allahabad,Ram Narain Lal Beni Prasad,TEXT MATERIAL,Intermediate Solid Geometry,Woopendra Chandra Dutt
1975,3156,575,New delhi,Bikash publishing house,TEXT MATERIAL,Lok Bitta (Public Finance),K.K.Sharma
1986,4396,680,London,Longman Group,TEXT MATERIAL,A Textbook of Economic Theory,Alfred W. Stonier | Douglas C. Hague
2060,6433,404,"Kathmandu, Nepal",Taleju Prakashan,TEXT MATERIAL,Economics of Nepal (Nepalko Arthsastra),Shyam Joshi
1994,718,851,London,Everyman's Library,TEXT MATERIAL,Martin Chuzzlewit,Charles Dickens
2012,6898,528,New Delhi,Pearson,TEXT MATERIAL,Microbiology :A Laboratory Manual,Cappuccino | Sherman
1971,4734,200,Darjiling,Shyam Brothers,TEXT MATERIAL,Nepali Nibandha,Raj Narayan Pradhan
1998,2357,64,"T.U., Kathmandu",Central Department of Economics,TEXT MATERIAL,Exchange rate and its impact on foreign trade balance in Nepal,Satis Chandra Devkota
0,1720,50,Nepal,Citizen's Poverty Watch Forum,TEXT MATERIAL,Impact of Foreign aid in Nepal :,Citizen's Poverty Watch Forum
2032,7018,75,"Kathmandu , Nepal",Arha Mantralaya,TEXT MATERIAL,Arthik Sarvekshan 2047/2048 ( Economic Survey ),Shree Panchko Sarkar
2001,351,480,New York,W.W. Norton & Company,TEXT MATERIAL,The Annotated Huckleberry Finn:,Mark Twain
1999,3070,18.74,Allahabad,Kitab Mahal,TEXT MATERIAL,Fundamentals of Statistics,D.N. Elhance | B.M.Aggarwal | Veenaelhance
2018,10634,636,New Delhi,Wiley India,TEXT MATERIAL,Groundwater Hydrology,David K Todd | Larry W. Mays
2011,6736,697,,,TEXT MATERIAL,A compiled Book of Corporate Finance,"Weston,Besley and Brigham | James C. Van Horne , John m Wachowicz, Jr. | Brigham and Houson"
2000,8428,206,New York,"John Wiley & Sons, Inc.",TEXT MATERIAL,Getting Started in Emerging Markets,Christopher Poillon
2019,12535,51,"Bharatpur,Chitwan","Department Of Sociology,Birendra Multiple Campus",TEXT MATERIAL,Participation Of Women In Household Decision Making,"Adhikari,Sudeep"
2009,5921,,"Kathmandu, Nepal",Department of Sociology,TEXT MATERIAL,Rural Society & Agrarian Change (Optional For Sociology) Vol. 5,Compendium
2013,9141,44,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of English,TEXT MATERIAL,Search for identity in Khaled Hosseni's The Kite Runner,Rishiram Aryal
2018,12361,39,"Bharatpur,Chitwan",Department Of Sociology Birendra Multipel Campus,TEXT MATERIAL,Social Role Of Tamang Women In the The Community,"Tamang,Janga Bahadur"
1997,3034,520,New Delhi,Narosa Publishing House,TEXT MATERIAL,Linear Programming,G. Hadley
2063,2301,107,"Bharatpur, Chitwan","Master of arts in Nepali, Department,Birendra Multiple Campus",TEXT MATERIAL,Natakkar Gopal Prasad Rimalko 'yo Prem' Natakka kritiparak addhyan,Bhima Bahadur Manandhar
1997,1365,192,Singapore,World Scientific,TEXT MATERIAL,Statistics & Truth:,C. Radhakrishna Rao
1983,1270,500,New Delhi,S. Chand & Company,TEXT MATERIAL,Fundamentals of Organic Chemistry,S. Nafis Haider
0,3909,128,New Delhi,Kitab Mahal,TEXT MATERIAL,Co- operative Development in Nepal,B.K.Singha
1981,929,746,New Delhi,McGraw-Hill Book Company,TEXT MATERIAL,Fundamentals of Optics:,Francis A. Jenkins | Harvey E. White
1993,1124,495,New Delhi,Vikas Publishing House,TEXT MATERIAL,A Textbook of Botany Vol. 2,S.N. Pandey | S.P. Misra | P.S. Trivedi
2012,8015,656,Kathmandu,Ekta Books,TEXT MATERIAL,Advanced Level Physics class xl,Dr. Kabi Raj Bantawa  | Dr.Tika Bahadur Katuwal
0,8189,,Kathmandu,Photocopy,TEXT MATERIAL,British and American Drama  M.A. 2nd Year English 536.1,Course Pocket
2070,10370,322,"Kathmandu, Nepal",Buddha Academic Publishers and Distributors,TEXT MATERIAL,Principles of Management ,Prem R. Pant | Rajendra Bikram Thapa
1985,1003,611,New Delhi,McGraw-Hill Book Company,TEXT MATERIAL,Perspectives of Modern Physics,Arthur Beiser
1973,2514,592,New Delhi,VikashPublhising house,TEXT MATERIAL,Comparative Government and Politics,D.C. Gupta
2010,8803,61,"Birendra Multiple Campus, Bharatpur, Chitwan",Department of  Econoimics,TEXT MATERIAL,Socio -Economic Impact Of Community Forestry,Pushpa Bhattarai
2068,7750,135,"Kirtipur, Kathmandu",Central Department of Geology,TEXT MATERIAL,Nepalma Khanij Sampada :,Dr. Lalu Prasad Poudel
2009,5741,683,New Delhi,PHI Learning,TEXT MATERIAL,Marketing Research,David J. Luck | Ronald S. Rubin
2058,6662,524,"Kathmandu, Nepal",Sajha Prakashan,TEXT MATERIAL,Paschtya samalochanako saidantik Parampara vol. 1,Dr. Basudev Tripathi
1988,486,898,New York,Harper Collins Publishers,TEXT MATERIAL,The Rise & Fall of The Great Powers:,Paul Kennedy
2015,12234,85,"Bharatpur, Chitwan","Department Of Physics , Bhirendar Multipel Campus",TEXT MATERIAL,"Study Of Electronic And Magnetic Properties Of Fe,Ni, FeNi And FeNi3","Bhandari,Nabin"
2013,7783,40,"Bharatpur, Chitwan","Department of English, Birendra Multiple Campus, T.U",TEXT MATERIAL,An Exploration of Psychotic Mind in H.G. Well's The Invisible Man,Sunita Poudel
2018,10675,564+G12+I18,New Delhi,Pearson Education,TEXT MATERIAL,Financial Markets & Institutions,Frederic S Mishkin | Stanley G Eakins | Tulsi Jayakumar | R K Pattnaik
2073,10248,62,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,Madheshi Ra Pahadi Samudaya Bichko Sambandha,Hom Nath Adhikari
1984,10423,166,India,Shalimar Publishing House,TEXT MATERIAL,Political Participation & Change In South Asia,Murlidhar Dharamdasani
2007,1710,347,Permanent Black,Ravi Dayal,TEXT MATERIAL,"Community,Gender And Violence:",Partha Chatterjee | Pradeep Jeganathan
1985,3928,338,New Delhi,Sterling Publishers,TEXT MATERIAL,Successful Tourism Management,Paran Nath Seth
2001,426,509,London,Mayfield Publishing Company,TEXT MATERIAL,The Creative Spirit:,Stephanie Arnold
0,4675,160,,,TEXT MATERIAL,Byzantium,
2012,9046,174,India,Cmbridge University Press,TEXT MATERIAL,English for Business Communication,Simon Sweeney
0,150,618,Moscow,Foreign Languages Publishing House,TEXT MATERIAL,And Quiet Flows the Don,Mikhail Sholokhov
0,5310,56,,,TEXT MATERIAL,Kitab Bhitrako Bal Sapana,Ganga Prasad Bhetwal
1998,5019,273,"Kathmandu,Nepal",Bhakta Lal Shrestha,TEXT MATERIAL,A Laboratory Manual of Botany,Sabitri Shrestha
2064,5329,330,"Bhotahity, Kathmandu, Nepal",Taleju Prakashan,TEXT MATERIAL,Economic Policy Analysis,Shyam Joshi
2055,6797,507,"Kathmandu, Nepal",dikshant Prakashan,TEXT MATERIAL,Essentials of Physical Chemistry for B.Sc.,Dr. Kedar Nath Ghimire | Mr. Deepak Wagle
1986,3753,428,India,Puspa Raj Prakashan,TEXT MATERIAL,Elemnts of Social Research and Statistics ( Samajik anusandhan evam sankhiki ke tattow),Dr. D.S.Baghel | Dr.K.C.Pande
2009,5919,,"Kathmandu, Nepal",Department of Sociology,TEXT MATERIAL,Rural Society & Agrarian Change (Optional For Sociology) Vol. 1,Compendium
1989,2957,344 with Index,New Delhi,Akashdeep Publishing House,TEXT MATERIAL,The Flowering Plants of Western India,Mozelle Isaacs
2062,1367,197,"Bhotahity, Kathmandu",Sukunda Pustak Bhawan,TEXT MATERIAL,Differential Calculus,M.B. Singh | B.C. Bajracharya
1996,413,1087,New York,W.W. Norton & Company,TEXT MATERIAL,A History of Narrative Film,David A. Cook
1985,958,259,New Delhi,CBS Publishers & Distributors,TEXT MATERIAL,Dynamics Part 1,A.S. Ramsey
2019,12494,119,"Bharatpur,Chitwan","Department Of English,Birendra Multiple Campus",TEXT MATERIAL,Norminal Morphology Of Dangaura Tharu,"Subedi,Sharada"
2057,7095,276,"Bhotahity , Kathmandu",Nabib Prakashan,TEXT MATERIAL,Macroeconomic Theory,Dr. Shyam Joshi
1976,9512,310,New York,Elsevier Scientific Publishing company,TEXT MATERIAL,Plate Tectonics ( Photocopy ),"Pichon, Xavier Le | Francheteau, Jean. | Bonnin, Jean."
2077,13658,62,"Bharatpur,Chitwan","Department of Sociolgy,Birendra Multiple Campus",TEXT MATERIAL,Antarjatiya Bibaha r yesle Pariwar ma Pare ko Pravav,"Sedai,santosh"
2068,8721,63,"Birendra Multiple Campus, Bharatpur, Chitwan","Department of Nepali , Birendra Multiple Campus",TEXT MATERIAL,Chitawan Jillama gaene Bibid Lokbhajanharuko Sankalan ra Bargikaranmulak Adhyayan,Durgadatta Nure
2000,1192,633,New York,McGraw-Hill,TEXT MATERIAL,Students Study Gide to Accompany:,Phillip Tate | James Kennedy | Rod R. Seeley
2011,7661,264,"Kirtipur, Kathmandu, Nepal",kirti Prakashan,TEXT MATERIAL,Advance demographic Techniques,Bijaya Mani Devkota
2012,7853,935,New Delhi,Oxford University Press,TEXT MATERIAL,Compact Oxford Thesaurus,Maurice Waite
1986,159,454,New York,Mac Million Publishing Company,TEXT MATERIAL,American Short Fiction,James K. Bowen | Richard Van Der Beets
2006,3052,422,"Bhotahity, Kathmandu",M.K. Pulishers & Distributors,TEXT MATERIAL,Principles of Management in Nepal,Govinda Ram Agrawal
1992,702,620,London,Everyman's Library,TEXT MATERIAL,The Complete English Poems,John Milton
2059,13666,97,Pokhara,"Department Of Nepali,Prithvinarayan Multiple Campu",TEXT MATERIAL,Bijay Malla Ka Sangrhit Yekangeehru Ko Sedhantik Bislesan,"Sharma,Narayan prasad"
2004,6689,589,"Kathmandu, Nepal","Central Department of Economics, TU",TEXT MATERIAL,Nepalese Economy:,Madan Kumar Dahal
2008,4241,487,New Delhi,Rastogi Publications,TEXT MATERIAL,Economic Zoology,G.S. Shukla | V.B. Upadhyay
2014,10198,47,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,Role of Women In Household Decision Making,Nisha Gautam
2070,8601,100,"Kathmandu, Nepal",Bhundipuran  Prakashan,TEXT MATERIAL,Futtya Aankha,Bishwo Shakya
2078,13879,235,"Kathmandu, Nepal",Sukunda Pustak Bhawan,TEXT MATERIAL,Analytical Geometry (Two Dimensional),"M R Joshi, Jeevan Kafle"
1987,2731,473,New Delhi,CBS Publishers & Distributors,TEXT MATERIAL,Thermal Physics,Charles Kittel | Herbert Kroemer
1994,570,345,New York,Harcourt Brace & Company,TEXT MATERIAL,Snow Falling on Cedars,David Guterson
2038,3352,117,"Lalitpur, Nepal",Sajha Prakashan,TEXT MATERIAL,Rural Development in Nepal:,Shyam Prasad Adhikari
